match_id,SetNo,GameNo,SetWinP,G_Winner,G_P1GmWon,G_P2GmWon,G_Ser,G_P1Ace,G_P2Ace,G_P1Wn,G_P2Wn,G_P1Df,G_P2Df,G_P1UE,G_P2UE,G_P1NP,G_P2NP,G_P1NPW,G_P2NPW,G_P1BP,G_P2BP,G_P1BPWon,G_P2BPWon,G_P1FW,G_P1BW,G_P2FW,G_P2BW,G_P1SerW,G_P2SerW,G_avg_SerSp,G_totalPoints
2011-ausopen-1108,2,1,2,2,0,1,2,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166.8,5
2011-ausopen-1108,2,2,2,1,1,1,2,1,0,1,0,2,0,3,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,174.02432586384026,8
2011-ausopen-1108,2,3,2,2,1,2,2,0,1,0,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180.16666666666666,6
2011-ausopen-1108,2,4,2,1,2,2,2,0,0,1,1,0,0,0,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,165.71946069107221,5
2011-ausopen-1108,2,5,2,2,2,3,2,0,0,0,2,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,171.33333333333334,6
2011-ausopen-1108,2,6,2,2,2,4,2,0,0,0,0,1,0,3,2,1,0,0,0,0,1,0,1,0,0,0,0,0,0,150.26621724256017,6
2011-ausopen-1108,2,7,2,2,2,5,2,0,1,0,2,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,174.26621724256017,6
2011-ausopen-1108,2,8,2,2,2,6,2,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,151.33333333333334,6
2011-ausopen-1114,2,1,1,2,0,1,2,0,0,0,2,0,0,1,1,2,2,1,2,0,0,0,0,0,0,0,0,0,0,150.5,6
2011-ausopen-1114,2,2,1,2,0,2,2,1,0,1,1,0,0,3,0,3,0,0,0,0,1,0,1,0,0,0,0,0,0,191.6,5
2011-ausopen-1114,2,3,1,1,1,2,2,0,0,3,1,0,0,0,0,1,5,1,2,2,0,1,0,0,0,0,0,0,0,169.75,8
2011-ausopen-1114,2,4,1,1,2,2,2,1,0,2,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,165.11946069107222,5
2011-ausopen-1114,2,5,1,1,3,2,2,0,1,1,1,0,2,3,5,1,2,0,2,2,0,1,0,0,0,0,0,0,0,164.76621724256017,12
2011-ausopen-1114,2,6,1,1,4,2,2,0,0,1,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,174.75,4
2011-ausopen-1114,2,7,1,1,5,2,2,0,1,3,1,0,0,3,3,1,1,1,0,3,0,1,0,0,0,0,0,0,0,163.4,10
2011-ausopen-1114,2,8,1,1,6,2,2,1,0,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168.33333333333334,6
2011-ausopen-1117,1,1,1,2,0,1,2,0,1,0,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,181.0,4
2011-ausopen-1117,1,10,1,1,6,4,2,1,0,3,0,0,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,178.4,5
2011-ausopen-1117,1,2,1,1,1,1,2,1,0,2,0,0,0,2,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,164.0,6
2011-ausopen-1117,1,3,1,2,1,2,2,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162.5,6
2011-ausopen-1117,1,4,1,1,2,2,2,0,0,2,2,0,0,0,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,151.33333333333334,6
2011-ausopen-1117,1,5,1,2,2,3,2,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183.5,4
2011-ausopen-1117,1,6,1,1,3,3,2,0,0,2,2,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,171.16666666666666,6
2011-ausopen-1117,1,7,1,1,4,3,2,0,0,1,0,0,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,153.5194606910722,5
2011-ausopen-1117,1,8,1,1,5,3,2,0,0,3,0,0,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,178.66666666666666,6
2011-ausopen-1117,1,9,1,2,5,4,2,0,0,0,1,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,166.0,5
2011-ausopen-1126,3,1,2,2,0,1,2,0,0,0,0,1,0,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,186.39932586384026,4
2011-ausopen-1126,3,2,2,2,0,2,2,0,0,1,1,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,167.5,6
2011-ausopen-1126,3,3,2,1,1,2,2,0,0,2,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,174.6,5
2011-ausopen-1126,3,4,2,2,1,3,2,0,1,0,3,0,0,1,2,1,2,0,1,0,0,0,0,0,0,0,0,0,0,169.09955057589352,6
